question,opt1,opt2,opt3,label
"Who wrote the famous play ""Romeo and Juliet""",1,0,0,1
"Who composed the famous symphony ""Symphony No. 9""",0,1,0,2
"Who painted the famous artwork ""Starry Night""",1,0,0,1
"Which art movement emerged in the early 20th century and emphasized spontaneous, automatic, or subconscious creation?",0,1,0,2
"Which artistic movement is characterized by distorted figures and vivid colors, often conveying emotional intensity?",0,0,1,3
Who is known as the founder of modern nursing,0,1,0,2
"Who wrote the famous poem ""The Waste Land""",1,0,0,1
Which literary device involves the use of exaggeration for emphasis or effect,1,0,0,1
"Which musical era is known for its elaborate ornamentation and complexity, spanning from approximately 1600 to 1750",0,1,0,2
What is the term for the study of the origin and development of words,0,0,1,3
Which of the following subjects interests you the most,0,0,1,3
What do you prefer to explore in your academic studies,1,0,0,1
Which area do you see yourself contributing to in your future career,0,1,0,2
What type of coursework are you most interested in,1,0,0,1
Which field aligns best with your career aspirations,0,0,1,3
