Question,Answer,Label
What are the common job roles in the field of finance?,Analysis,1
What industries are typically associated with commerce?,Finance,1
What are the main responsibilities of a manager?,Management,1
What skills are important for success in business?,Business acumen,1
What does a career in marketing involve?,Advertising,1
What opportunities exist for commerce graduates in the banking sector?,Banking,1
What is the importance of economics in business careers?,Economics,1
What skills do managers need for effective leadership?,Leadership,1
How does commerce impact global trade?,Trade,1
What are the challenges faced by entrepreneurs?,Entrepreneurship,1
How do business professionals communicate their ideas?,Presentation,1
What are the ethical considerations in business decision-making?,Integrity,1
What are the prospects for commerce careers in the future?,Opportunities,1
How do commerce professionals contribute to economic growth?,Economic development,1
